NO,JUDUL,NOMOR KATALOG,NOMOR KLASIFIKASI,ISBN/ISSN,NOMOR PANGGIL SETEMPAT,BAHASA,PENGARANG,PENERJEMAH,EDITOR,SERI,EDISI,NEGARA,PROVINSI,KOTA,PENERBIT,TAHUN,SUBJEK,NAMA PERTEMUAN,TEMPAT PERTEMUAN,TANGGAL PERTEMUAN,HARGA,JENIS
311,Antologi Puisi Dwi Bahasa,4570317123,895.1,979-95602-6-8,895.1 Had P,Indonesia,Dr. Abdul Hadi W.M.,Wilson Tjandinegara,Ayid Suyitno PS.,,,Indonesia,,,Komunitas Sastra Indonesia,2000,Chinese Literature,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Antologi
312,Antologi Puisi: Pendidikan dalam Goresan Pena,5313317124,811,978-623-7815-16-7,811 Kin A,Indonesia,Muhammad Ali Sodikin,,Kuncoro Y. Joyonegoro,,,Indonesia,Banten,Serang,Yayasan Pendidikan dan Sosial Indonesia Maju,2020,Indonesian Poetry,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Antologi
313,Antonio Gramasci Sang Neo Marxis,4957333124,320.5322,978-623-305-280-1,320.5322 Ams A,Indonesia,Yulianto Amsalis,,Daruz Armedian,,,Indonesia,DI Yogyakarta,Bantul,BASABASI,2022,Marxism Leninism,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
314,Antonio Gramsci Negara & Hegemoni,8300333124,320.01,979-9075-66-1,320.01 Pat A,Indonesia,Nezar Patria,,Eko Prasetyo,,,Indonesia,DI Yogyakarta,Yogyakarta,Pustaka pelajar,1999,Philosophy and Theory of Political & Government Science,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
315,Antonio Gramsci Sebuah Biografi,3688321122,921,978-623-244-843-8,921 Emh A,Indonesia,Emhaf,,Herman Adamson,,1,Indonesia,DI Yogyakarta,Yogyakarta,Anak Hebat Indonesia,2022,Philosophers and Psychologist Biography,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Biografi
316,Antropobiologi Pendidikan Anak Usia Dini,4596312123,649.1,978-623-6232-05-7,649.1 Ais A,Indonesia,"Eny Nur Aisyah, S.Pd.I., M.Pd.",,Wildan,,,Indonesia,Jawa Barat,Bandung,PT Refika Aditama ,2021,Child Rearing,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Belajar
317,Antropologi HUKUM,8842333125,364.2,978-979-076-204-6,364.2 SAE A,Indonesia,"Dr. Beni Ahmad Saebani, M.Si.",,,,,Indonesia,Jawa Barat,Bandung,PUSTAKA SETIA,2017,Criminal,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
318,ANTROPOLOGI KESEHATAN : Konsep dan Aplikasi Antropologi dalam Kesehatan,6438333124,301,978-602-376-158-6,301 Put A,Indonesia,Dewi Murdiyanti Prihatin Putri,,,,,Indonesia,DI Yogyakarta,Yogyakarta,Pustaka Baru Press,2018,Sociology and Antropology,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
319,Antropologi Pendidikan,9815315122,370,978-979-076-160-5,370/Mah/A,Indonesia,"Prof. Dr. H. Mahmud, M.Si",,"Dr. Beni Ahmad Saebani, M.Si",,,Indonesia,Jawa Barat,Bandung,CV Pustaka setia,2020,Education,,,26 Oktober 2022,0,Buku Ajar / Buku Ilmiah
320,Anugerah Kebudayaan Tahun 2019,7269318124,306.09598,,306.09598 Anu,Indonesia,,,,,,Indonesia,DKI Jakarta,Jakarta,"Direktorat Warisan dan Diplomasi Budaya, Direktorat Jenderal Kebudayaan Kementerian Pendidikan dan Kebudayaan",2019,Culture of Indonesia,Surat Permohonan Buku dan Koleksi,,14-Nov-22,0,Budaya
321,Anxiety Sucks: Sebuah Buku untuk Membantumu Menghadap Gangguan Kecemasan,4564333123,158.1,978-979-794-659-3,158.1 Isn A,Indonesia,Isna Nurjanah,,Juliagar R.N,,,Indonesia,DKI Jakarta,Jakarta,mediakita,2022,Personal Improvement & Analysis,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
322,Apa Adanya (Inul Daratista: The Official Book),4722333123,155.25,978-979-757-692-9,155.25 Dar A,Indonesia,Inul Daratista,,"Ida Ayu, Raditantri",,,Indonesia,DKI Jakarta,Jakarta Selatan,PT Kawan Pustaka,2022,Character Development ,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
323,Apa Agama Teroris? Nalar Reflektif atas Fenomena-Fenomena Keislaman Mutakhir,4946333124,201.7,978-623-5348-09-4,201.7 Kur A,Indonesia,Anwar Kurniawan,,Muhammad Ali Fakih,,,Indonesia,DI Yogyakarta,Yogyakarta,IRCiSoD,2022,Attitudes of Religions Toward Social Issue,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
324,Apa Itu Rempah?,4276323122,741.5,,741.5 Irf A,Indonesia,Ridhwan Irfani,,,,,Indonesia,DKI Jakarta,Jakarta,Kementrian Pendidikan dan Kebudayaan,2021,Comics Drawings,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Cerita Bergambar
325,A Pandemic Of Love,3450320122,813,9.79E+12,813 Nat A,Indonesia,Ika Natasa,Dharmawati Chen,Munmun Gupta. Poppy Choudhury,,1,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2022,Indonesia Fiction ,Permohonan Buku & Koleksi,,22 Agustus 2022,0,Novel
326,"Apapun Masalahnya, Kita Bisa Bahagia",4997333124,150.1,978-979-780-985-0,150.1 Taj A,Indonesia,Qaris Tajudin,,"Agung Firdaus, Resita Febiratri",,,Indonesia,DKI Jakarta,Jakarta,GagasMedia,2022,Philosophy and Theory of Psychology,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
327,"Apa yang Benar, Bukan Siapa yang Benar",6624333124,121,978-602-291-716-8,121 Nad A,Indonesia,Emha Ainun Nadjib,,"Arief Koes Hermawan, dkk.",,,Indonesia,DI Yogyakarta,Yogyakarta,PT Bentang Pustaka,2020,Theory of Knowledge,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
328,APIK Jurnal Ilmiah Pendidikan Khusus ,790936124,370.5,2614-2708,370.5 API,Indonesia,,,,,,Indonesia,Jawa Tengah,Yogyakarta,Asosiasi Profesi Pendidikan Khusus Indonesia ,2020,Serial Publication ,Surat Permohonan Buku dan Koleksi,Surat Permohonan Buku dan Koleksi,26 Oktober 2022,0,Karya Ilmiah
329,Api Sunyi: Trilogi Sunyi Emi Suy,6863317124,899.221,978-602-5780-68-4,899.221 Suy A,Indonesia,Emi Suy,,,,,Indonesia,DKI Jakarta,Jakarta Selatan,Teras Budaya Jakarta,2020,Indonesian Literatures,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Antologi
330,APLIKASI AKUNTANSI JASA,8761332125,4,,004 Aku,Indonesia,Tim Akuntansi,,,,,Indonesia,Jawa Timur,Surabaya,INSTITUT PEMBANGUNAN ,2000,Data Processing,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,
331,Aplikasi Customer Relationship Management dengan Sugar Suite 4.5.1,8614312124,5.3,978-979-17807-5-9,005.3 Ang A,Indonesia,Ardhian Anggita S.,,,,1,Indonesia,DI Yogyakarta,Yogyakarta,Neotekno,2008,Programs,Surat Permohonan Buku dan Koleksi,,26-Sep-22,0,Buku Belajar
332,Aplikasi Database di Java dengan JBuilder,5979312124,5.74,979-20-4534-1,005.74 Utd A,Indonesia,Firar Utdirartatmo,,,,,Indonesia,DKI Jakarta,Jakarta Pusat,PT Alex Media Komputindo,2003,Data files,surat permohonan buku dan koleksi,,21-Sep-22,0,Buku Belajar
333,Aplikasi Excel dalam Manajemen Keuangan,8498324124,658.15,979-20-1102-1,658.15 San A,Indonesia,Singgih Santoso,,,,,Indonesia,DKI Jakarta,Jakarta,PT Alex Media Komputindo,1999,Financial Management,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Panduan (How To)
334,Aplikasi General Ledger Menggunakan Visual Foxpro,246312122,5.262,979-731-094-9,005.262 Apl,Indonesia,,,,,1,Indonesia,DI Yogyakarta,Yogyakarta,Andi,2004,Pemograman,Surat permohonan buku dan koleksi,,22 Agustus 2022,0,Buku Belajar
335,Aplikasi Google Sketchup untuk Desain 3 Dimensi,291312122,6.66,978-623-00-0555-8,006.66 Man A,Indonesia,Rio Manullang,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2021,Programing For Computer Graphics,Surat permohonan buku dan koleksi,,22 Agustus 2022,0,Buku Belajar
336,APLIKASI KOMPUTER DATABASE,7674315124,5.740285,978-602-449-288-5,005.740285 Nov A,Indonesia,"Noviyanti, S.AP., M.AP.",,,,,Indonesia,Jawa Timur,Surabaya,Unesa University Press,2018,Database Computer Aplication ,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Buku Ajar / Buku Ilmiah
337,"Aplikasi Kuitansi, Stok Barang & Penggajian dengan MS Excel",6685312124,5.5,978-623-00-2401-6,005.5 Wic A,Indonesia,Yudhy Wicaksono,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2021,General Purpose Application Programs,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
338,Aplikasi Manajemen Database Pendidikan Berbasis Web dengan PHP dan MySQL,5975333124,5.74,979-763-688-7,005.74 Apl,Indonesia,,,Agnes Heni Triyulina,,,Indonesia,DI Yogyakarta,Yogyakarta,Andi,2006,Data Files,surat pertemuan koleksi & buku,,22-Sep-22,0,Buku Baca
339,Aplikasi Manajemen Keuangan Berbasis Android,6918312124,5.36,978-623-7131-44-1,005.36 saf A,Indonesia,"Nazruddin Safaat H., M.T.",,,,,Indonesia,Jawa Barat,Bandung,INFORMATIKA,2021,Software For Personal Computers,Permohonan buku & koleksi,,26 Oktober 2022,0,Buku Belajar
340,A Poem with Your Name,4769317124,821,978-602-04-7661-2,821 Adi A,Indonesia,,,Pradita Seti,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2019,English Poetry,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Antologi
341,Applied Geotechnics for Engineers ,9631315124,622.12,978-623-01-1037-5,622.12 Kur A,Indonesia,Paulus Kurniawan ,,Giovanny Risky ,,,Indonesia,DI Yogyakarta,Yogyakarta,Andi,2020,Surface Exploration ,,,26 Oktober 2022,0,Buku Ajar / Buku Ilmiah
342,Applied Multivariate Statistical Analysis,7574412124,519.5,0-13-514350-0,519.5 Joh A,Inggris,Richad A. Jhonson,,Joanne Wendelken,,,Amerika,New Jersey,,"Pearson Education, Inc.",2007,Statistical Mathematics,Surat Permohonan buku dan koleksi,,26 Oktober 2022,0,Buku Belajar
343,Applied Psychology: Bagaimana Menggunakan Pikiran dan Mental Secara Efisien untuk Pencapaian Tujuan Pribadi dan Bisnis,5104333122,158,978-623-7162-73-5,158 Hil A,Indonesia,Warren Hilton,Dewi Wulansari,Nunung Wiyati,,,Indonesia,DKI Jakarta,Jakarta,Gemilang (Kelompok Pustaka Alvabet),2021,Applied Psychology,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
344,Applied Regression Analysis (Second Edition),7408312124,519.53,979-511-146-9,519.53 Dra A,Indonesia,Norman Draper ,Ir. Bambang Sumantri,,,2,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,1992,Descriptive Statistics,Surat Permohonan Buku & Koleksi,,21-Sep-22,0,Buku Belajar
345,Arabia Menjelajahi Jantung Timur Tengah,3598329122,910.4,978-623-00-1680-6,910.4 Woo A,Indonesia,Levison Wood,Venessa,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2020,Accounts Travels,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Sejarah
346,"ARANGAN: Anyaman Khas pada Komunitas Adat Dayak Meratus di Kabupaten Belangan, Kalimantan Selatan",9297318126,687.1,978-623-7526-52-0,687.1 Rah A,Indonesia,Neni Puji Nur Rahmawati,,Izzudin Irsam Mujib & Asep Ruhimat,,1,Indonesia,Jawa Barat,Bandung,CV Media Jaya Abadi,2022,Specific Kind of Garments,Surat Permohonan Buku dan Koleksi,,28-Nov-22,0,Budaya
347,ARCA DEWA-DEWA HINDU KOLEKSI MUSEUM NASIONAL,9896318124,69.5,,069.5.Mar.A,Indonesia,"Dra. Intan Mardiana, M.Hum.",,,,,Indonesia,DKI Jakarta,Jakarta,,2002,,,,28-Nov-22,0,Budaya
348,Archipel 98,71995333124,301,978-2-910513-82-5,301 Lab A,Prancis,Pierre Labrousee,,,,,Prancis,,,,2019,Sociology & Anthropology,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Buku Baca
349,Archipelago Leadership,4689431123,158.4,978-602-5808-39-5,158.4 Mar A,Inggris,Admiral (Ret) Prof. Dr. Marsetio,,"Prof. Dr. Rajab Ritonga, M. Si",,,Indonesia,Jawa Barat,Bogor,Defense University,2019,Leadership,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Pengetahuan Umum
350,Archipel : Indonesia Kingdoms of The Sea,8874418124,69.5,978-94-6161-429-2,069.5 Arc 1,Inggris,Dr. Andi F. Yahya,"Duncan Brown, Timothy Straud",Griet van Haute,,,,,,Snoeck Publishers,2017,Collections and Exibits of Museum Object,Surat Permohohan Buku dan Koleksi,,26 Oktober 2022,0,Budaya
351,Arena Bisnis Perikanan:Stabilitas & perubahan Akibat Kebijakan Pelarangan Cantrang,9513315124,338.3,,338.3 RAD A,Indonesia,RADHIATMOKO,,,,,Indonesia,DKI Jakarta,Jakarta,Penerbit Universitas Indonesia (UI-Press),2020,,,,09 Januari 2020,0,Buku Ajar / Buku Ilmiah
352,Argumen Pembalikan Beban Pembuktian: Sebagai Metode Prioritas dalam Pemberantasan Tindak Pidana Korupsi dan Tindak Pidana Pencucian Uang,9989339124,345.01,978-602-425-691-3,345.01 Suh A,Indonesia,Suhartoyo,,,,1,Indonesia,Jawa Barat,Depok,PT. Rajagrafindo Persada,2019,Criminal Court,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Hukum
353,Arkeologi Menguak Rahasia Masa Lampau Romawi Kuno,442534123,937,978-602-424-777-5,937 Dec A,Indonesia,Zilah Deckker,Priyatno Ardi,"Hardian P.P, Gregorius Sanjaya, Dias Salim",,,Indonesia,DKI Jakarta,Jakarta,Kepustakaan Populer Gramedia,2011,Italian Peninsula to 476 ,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Ensiklopedia
354,Arkeologi Menguak Rahasia Masa Lampau Tiongkok Kuno,442334123,931,978-602-424-779-9,931 Bal A,Indonesia,Jacqueline Ball,Priyatno Ardi,"Hardian P.P, Gregorius Sanjaya",,,Indonesia,DKI Jakarta,Jakarta,Kepustakaan Populer Gramedia,2011,Ancient History of China to 420,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Ensiklopedia
355,"Around The World in 60 Seconds (Kisah Perjalanan Nas Daily 1000 hari, 64 Negara, 1 Planet Terindah)",3600333122,910.4,978-623-04-0518,910.4 Yas A,Indonesia,Nuseir Yassin,Marcalais Fransisca,Marina Ariyani,,,Indonesia,DKI Jakarta,Jakarta,Bhuana Ilmu Populer (Kelompok Gramedia),2022,Accounts Travels,Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Baca
356,Arrrrrgh.......,7935320122,899.2213,979-3600-41-1,899.2213 Goe A,Indonesia,Melly Goeslaw,,Moammar Emka & Denny Indra,,,Indonesia,DKI Jakarta,Jakarta,GagasMedia,2004,Indonesian Fiction,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Novel
357,Art Above the Art,9682333124,370.113,978-979-013-288-7,370.113 Hin A,Indonesia,Aucky Hinting,,Taufiqurrahman Al-Azizy,,,Indonesia,Jawa Barat,Depok,Raih Asa Sukses (Penebar Swadaya Grup),2020,Education,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
358,"Artificial Intelligence: Searching, Reasoning, Planning, dan Learning",4770312124,6.3,978-623-7131-46-5,006.3 Suy A,Indonesia,"Dr. Suyanto, S.T., M.Sc.",,,,,Indonesia,Jawa Barat,Bandung,INFORMATIKA,2021,Artificial Intelligence,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
359,Art Policing: Pemolisian dengan Pendekatan Seni Budaya,7707333124,360,978-602-18513-6-4,360 Dwi A,Indonesia,Chryshnanda Dwilaksana,,Yulianto Liestiono,,,Indonesia,DKI Jakarta,Jakarta Selatan,Yayasan Pengembangan Kajian Ilmu Kepolisian,2020,Social Problem & Services,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
360,ART Weeks ,7868433124,700.5,,700.5 Art ,Inggris,,,,,,Inggris,Greater London,London,Oxfordshire,2018,Serial Publications ,Surat Permohonan buku dan koleksi,,26 Oktober 2022,0,Buku Baca
361,Aru & Harta Karun Rempah,4288323122,741.5,,741.5 Isk A,Indonesia,Talita Aulia Zahra Iskandar,,,,,Indonesia,DKI Jakarta,Jakarta,Kementrian Pendidikan dan Kebudayaan,2019,Comics Drawings,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Cerita Bergambar
362,Arus Manifesto V,9987316124,701.48,,701.48 Suk A,Indonesia,Tubagus Sukmana,,,,,Indonesia,DKI Jakarta,Jakarta,Galeri Nasional Indonesia,2016,Art Apreciation,Surat Permohonan Buku & Koleksi,,28-Nov-22,0,Dokumentasi
363,Asal Muasal Orang Jawa,6734318124,959.8,978-623-244-234-4,959.8 Mus A,Indonesia,Asti Musman,,Herman Adamson,,,Indonesia,DI Yogyakarta,Yogyakarta,Anak Hebat Indonesia,2022,History Of Indonesia ,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Budaya
364,"Asal Mula Terjadinya Alam Semesta, Galaksi, Tata Surya, dan Kita",6029315124,523.1,978-602-481-203-4,523.1 Tys A,Indonesia,Neil deGrasse Tyson ,Ratna Satyaningsih,Andya Primanda,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia,2019,The universe,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Ajar / Buku Ilmiah
365,Asal Usul Bangsa Korea Dan-gun,1720323122,398.2,978-623-98415-7-7,398.2 Bae A,Indonesia,Philip Bae,,Philip Bae,,,Indonesia,Sumatera Utara,Medan,PT. Penerbit Sarang Plus,2022,Fairy Tales,Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Cerita Bergambar
366,"ASAL USUL ORANG JAWA ""Menelusuri Jejak-Jejak Genealogis dan Historis Orang Jawa""",3874333122,929.1,978-623-7145-84-4,929.1 Jaq A,Indonesia,FERY TAUFIQ EL- JAQUENE,,Adi Putra Pati,,,Indonesia,DI Yogyakarta,Yogyakarta,Araska,2019,Genealogy,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Baca
367,As A Man Thinketh ,7971333122,128.2,81 207 2393 7 ,128.2 All A,Indonesia,James Allen ,,,,,India,New Delhi,New Delhi,Sterling Publisher,2003,Mind ,Surat Permohonan buku dan koleksi,Surat Permohonan Buku dan Koleksi ,26 Oktober 2022,0,Buku Baca
368,Asas- Asas Hukum Islam,7135339124,340.59,,340.59/sya/a,Indonesia,"DRS. H. Saidus Syahar, S.H.,C.N.",,,,,Indonesia,Jawa Barat,Badung,Universa; Offset Bandung,1977,islamic low,Permohonan buku & koleksi,,26 Oktober 2022,0,Hukum
369,ASAS-ASAS HUKUM ISLAM (Himpunan Kuliah),7878339124,297.14,,297.14 Sya A,Indonesia,"Drs. H. Saidus Syahar S.H., C.N.",,,,,Indonesia,Jawa Barat,Bandung, Penerbit Alumni,1979,Religious,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Hukum
370,ASAS-ASAS PENELITIAN BEHAVIORAL ,6098312124,300.72,979-420-171-5,300.72/KER/A,Indonesia,FRED N. KERLINGER,,,,,Indonesia,DI Yogyakarta,Yogyakarta,Gadjah Mada University Press,2006,,Surat Permohonan Koleksi & Buku,,26 Oktober 2022,0,Buku Belajar
371,ASEAN MASTER CRAFTSMEN AN TEXTILE,8853418125,746.1,978-983-9196-69-6,746.1 Tin A,Inggris,Do Van Tinh,,Dr. Nguyen Thi Ngan,,1,Malaysia,Wilayah Federal Kuala Lumpur,Kuala Lumpur,perbadanan kemajuan kraftangan Malaysia,2013,Yarn Preparation,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Budaya
372,Asean Textile EXHIBITION/Pameran Tekstil Se-ASEAN:,7457333124,69.5,,069.5 ASE A,Inggris,Intan Mardiana,,,,,Indonesia,DKI Jakarta,Jakarta Pusat,Kementrian Pendidikan dan Kebudayaan,2013,Collection and Exibits of Museum Objects,Surat Permohonan buku dan koleksi,,26 Oktober 2022,0,Buku Baca
373,Asean Wonders ,9203418124,300.3,9.79E+14, 300.3 Ase,Inggris,,,,,,Brunei Darussalam,,,"Kementrian Kebudayaan, Belia dan Sukan ",2013,"Dictinaries, Encyclopedias, Concordance of Sosial Science ",Surat Permohonan buku dan koleksi,Surat Permohonan Buku dan Koleksi ,26 Oktober 2022,0,Budaya
374,Asesmen dan Evaluasi Pendidikan,7815342124,370.72,978-602-1186-66-4,370.72 Yus A,Indonesia,"Prof. Dr. A. Muri Yusuf, M.Pd.",,,,,Indonesia,DKI Jakarta,Jakarta,KENCANA,2017,Research of Education Science,Surat Permohonan Buku dan Koleksi,,,0,Pendidikan
375,Asian Business Software Solution,273312122,5.5,978-623-231-545-7,005.5 San A,Indonesia,Elfitri Santi,,,,1,Indonesia,Jawa Barat,Depok,PT. Rajagrafindo Persada,2020,Perangkat Lunak Pengolahan data elektronik,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Belajar
376,"Asianizing Asia: Reflexivity, History and Identity (First Annual Conference May 27-29, 2001; Bangkok, Thailand)",4547414123,60,,060 Asi,Inggris,,,,,,Thailand,Pathumwan,Bangkok,Institute of International Education (IIE),2001,General Organizations ,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Prosiding Internasional
377,Asia's Star Brands,7435432124,658.8007,978-0-470-82156-5,658.8007 Tem A,Inggris,Paul Temporal,,,,,Singapura,,,John Willey & Sons Singapore,2006,Education of Marketing,,,,0,Ekonomi
378,A Simple Guide to Trauma,880244124,616,0 443 03350 1,616 Huc A,Inggris,"R. L. Huckstep, CMG, FTS",,,,4,Amerika Serikat,New York,New York,CHURCHILL LIVINGSTONE,1994,Diseases,Surat Permohonan Buku dan Koleksi,,,0,Ensiklopedia
379,Asmara Kunyit Manis,4282323122,741.5,,741.5 Far A,Indonesia,Naily Farhatin,,,,,Indonesia,DKI Jakarta,Jakarta,Kementrian Pendidikan dan Kebudayaan,2021,Comics Drawings,Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Cerita Bergambar
380,Asmaraloka,5793320124,813,9.79E+12,813 Kim A,Indonesia,Arata Kim,,,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2021,Indonesian Fictions ,Surat Permohonan Buku & Koleksi ,,26 Oktober 2022,0,Novel
381,Aspek Hukum dalam Bisnis,1314327122,346.07,978-979-1330-65-7,346.07 Sri A,Indonesia,Ahamd Rizki Sridadi,,,,,Indonesia,Jawa Timur,Surabaya,Airlangga University Press,2009,Commercial Law,Surat Permohonan Buku dan Koleksi,,22 Juni 2022,0,Bisnis
382,Aspek Hukum dalam Bisnis,4313312122,340,978-602-6417-62-6,340 Sar A,Indonesia,I Made Sara,,,,1,Indonesia,Jawa Timur,Sidoarjo,Indomedia Pustaka,2018,Law,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Belajar
383,ASPEK HUKUM STARTUP,9899333124,343.07,,343.07.Chr.A,Indonesia,"Dr.Rio Christiawan, S.H., M.Hum., M.Kn.",,,,,Indonesia,DKI Jakarta,Jakarta,SINAR GRAFIKA,2021,,,,22-Nov-22,0,Buku Baca
384,Aspergers's Syndrome: A Guide for Parents and Professionals,7765433124,616.65882,1-85302-577-1,616.65882 Att A,Inggris,Tony Attwood,,,,,Inggris,,London,Jessica Kingsley Publisher,1984,Autosm,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
385,ASP.Net Solusi web e-Commerce,224312122,5.13,979-533-985-0,005.13 Fra A,Indonesia,Frans,,,,1,Indonesia,DI Yogyakarta,Yogyakarta,Andi,2003,Bahasa Pemograman,Surat permohonan buku dan koleksi,,21-Sep-22,0,Buku Belajar
386,Astronomi dan Kalender Tao ,63254933124,133.5,978-7-5613-4369-2,133.5 Shu A,China,Ziwei Dou Shu,,Lin Gengfan,,1,China,,,Shaanxi Normal University,,Astrology,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
387,ASUS CUSL2-C Intel 815EP ATX Motherboard User's Manual,8106424124,9.16,-,009.16 Asu,Inggris,,,,,,Jerman,Ratingen,Ratingen,ASUS COMPUTER Gmbh,2000,Personal Computer,Surat Permohonan Buku dan Koleksi,,,0,Panduan (How To)
388,Atasi jerawat Dengan Ekstrak Manggis,5673324124,615.3,978-979-709-861-2,615.3 Sut A,Indonesia,"dr. Toni Sutono,MPH, M.Si.",,Diana Damayanti,,,Indonesia,DKI Jakarta,Jakarta,PT Kompas Media Nusantara,2014,Organic Drugs,Surat Permohonan Buku & Koleksi ,Surat Permohonan Buku & Koleksi,26 Oktober 2022,0,Panduan (How To)
389,A Teen's Guide to Self-Discovery,4971326124,155.25,978-602-481-837-1,155.25 Ayu A,Indonesia,Naura Ayu,,Fakhrisina Amalia; Katrine Gabby Kusuma & Pradikha Bestari,,,Indonesia,DKI Jakarta,Jakarta,Kepustakaan Populer Gramedia,2022,Character Development,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Motivasi
390,ATLAS ANTARIKSA,1979319122,520.3,978-602-481-010-8,520.3 Dec A,Indonesia,CAROLYN DECRISTOFANO,Ratna Satyaningsih,Andya Primanda,,,Indonesia,DKI Jakarta,Jakarta,Kepustakaan Populer Gramedia,2021,Encyclopedia of Astronomy,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Atlas / Peta
391,Atlas Berwarna Helmintologi Kedokteran,2387315122,616.96,979-8990-88-9,616.96 Pra A,Indonesia,R. Heru Prasetyo,,Winarko,,,Indonesia,Jawa Timur,Surabaya,Airlangga University Press,2003,"Parasitology, Parasitic Diseases",Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Ajar / Buku Ilmiah
392,Atomic Habits: Perubahan Kecil yang Memberikan Hasil Luar Biasa,4202333122,155.25,978-602-06-3317-6,155.25 Cle A,Indonesia,James Clear,Alex Tri Kantjono Widodo,,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2019,Character Development ,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Baca
393,A to Z Mazhab Filsafat: Dari Abad Pertengahan Hingga Post-Strukturalisme,4712331123,101,978-623-244-842-1,101 Ram M,Indonesia,Maghfur M. Ramin,,Herman Adamson,,,Indonesia,DI Yogyakarta,Yogyakarta,Anak Hebat Indonesia,2022,Theory of Philosophy,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Pengetahuan Umum
394,Aturan Bea Materai,6651333124,343.04,979-8020-54-5,343.04 Soe A,Indonesia,"Prof. Dr. H. Rochmat Soemitro, S.H.",,,,3,Indonesia,Jawa Barat,Bandung,PT. Eresco,1992,Tax Law,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
